STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,BURGLARY,THEFT,RIOTS,ROBBERY,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,9,198,199,78,41,16,149,0
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,8,191,366,168,16,7,118,0
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,4,237,723,156,14,14,112,0
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,1,98,173,164,4,17,126,0
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,4,437,1021,70,25,12,109,0
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,5,0,162,1,2,0,1,0
ANDHRA PRADESH,GUNTUR,2001,182,54,82,16,338,1122,244,59,7,139,0
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,13,1155,2792,65,67,24,118,0
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,27,218,392,220,50,62,414,0
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,1,172,368,153,13,17,180,0
ANDHRA PRADESH,KRISHNA,2001,65,37,36,3,163,478,70,15,10,208,0
ANDHRA PRADESH,KURNOOL,2001,133,29,47,6,155,297,84,22,13,141,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,8,249,316,157,27,14,176,0
ANDHRA PRADESH,MEDAK,2001,101,35,26,27,219,286,100,26,26,100,0
ANDHRA PRADESH,NALGONDA,2001,122,35,27,6,133,318,220,28,31,188,0
ANDHRA PRADESH,NELLORE,2001,89,46,90,12,244,608,97,16,10,207,0
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,7,158,234,51,22,19,55,0
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,15,147,278,138,14,5,140,0
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,24,1076,1296,65,78,37,113,7
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,2,296,1,10,1,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,1,118,231,70,4,6,38,0
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,3,491,2057,19,27,2,84,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,0,0,265,1,1,0,1,0
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,4,76,165,138,3,3,67,0
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,1,323,630,9,5,0,33,0
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,0,99,144,36,2,0,40,0
ANDHRA PRADESH,WARANGAL,2001,158,53,81,2,266,418,330,23,52,241,0
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,7,257,1116,96,15,15,246,0
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,214,7220,16751,3001,629,420,3544,7
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,3,18,24,0,4,0,3,0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,2,18,19,0,5,0,4,0
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,1,8,26,0,6,0,5,0
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,1,6,26,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,2,20,31,3,8,0,8,0
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,4,59,109,9,29,0,6,0
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,4,25,52,1,8,0,7,0
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,0,5,9,1,0,0,3,0
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,1,34,72,2,10,0,25,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,1,17,25,5,7,0,4,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,3,17,20,2,5,0,8,0
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,0,3,13,0,0,0,5,0
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,0,18,17,1,2,0,0,0
ARUNACHAL PRADESH,TOTAL,2001,83,33,83,22,248,443,24,84,0,78,0
ASSAM,BARPETA,2001,64,28,105,43,93,187,196,45,10,29,0
ASSAM,BONGAIGAON,2001,45,20,36,13,87,92,87,25,1,22,0
ASSAM,C.I.D.,2001,0,0,0,0,0,1,0,0,0,0,0
ASSAM,CACHAR,2001,52,45,104,29,189,359,533,42,7,80,0
ASSAM,DARRANG,2001,61,48,64,21,111,185,100,29,9,56,0
ASSAM,DHEMAJI,2001,15,42,31,2,26,79,13,12,0,26,0
ASSAM,DHUBRI,2001,65,43,69,53,79,83,402,19,5,49,0
ASSAM,DIBRUGARH,2001,110,35,57,14,114,325,21,29,3,41,0
ASSAM,G.R.P.,2001,13,1,3,8,11,135,9,16,0,0,0
ASSAM,GOALPARA,2001,28,35,43,37,61,116,129,13,1,54,0
ASSAM,GOLAGHAT,2001,53,30,44,13,95,211,26,27,0,23,0
ASSAM,GUWAHATI CITY,2001,71,37,129,38,227,736,151,73,5,67,0
ASSAM,HAILAKANDI,2001,18,24,36,6,93,92,160,8,2,27,0
ASSAM,JORHAT,2001,40,42,37,6,43,230,30,27,2,44,0
ASSAM,KAMRUP,2001,37,21,95,30,196,275,55,41,2,42,0
ASSAM,KARBI ANGLONG,2001,65,5,38,12,13,79,90,33,4,5,0
ASSAM,KARIMGANJ,2001,32,33,42,8,57,114,271,5,1,9,0
ASSAM,KOKRAJHAR,2001,87,14,41,14,42,89,50,10,0,37,0
ASSAM,LAKHIMPUR,2001,26,64,72,15,124,195,106,47,0,22,0
ASSAM,MORIGAON,2001,20,23,39,15,84,66,79,10,0,6,0
ASSAM,N.C.HILLS,2001,17,2,8,4,17,30,4,5,0,2,0
ASSAM,NAGAON,2001,95,51,119,59,288,491,267,33,1,113,0
ASSAM,NALBARI,2001,79,30,53,15,96,119,4,39,3,16,0
ASSAM,R.P.O.,2001,11,3,2,13,1,29,13,2,0,0,0
ASSAM,SIBSAGAR,2001,59,47,64,3,1,343,50,41,0,28,0
ASSAM,SONITPUR,2001,86,53,87,27,175,356,85,21,1,43,0
ASSAM,TINSUKIA,2001,107,41,62,34,100,350,22,35,2,9,0
ASSAM,TOTAL,2001,1356,817,1480,532,2423,5367,2953,687,59,850,0
BIHAR,ARARIA,2001,47,93,79,39,80,161,375,43,11,3,0
BIHAR,ARWAL,2001,37,0,13,5,20,24,76,8,7,11,0
BIHAR,AURANGABAD,2001,74,16,24,19,137,103,155,28,33,13,0
BIHAR,BAGAHA,2001,34,25,56,1,7,115,67,9,0,4,0
BIHAR,BANKA,2001,93,34,27,49,51,73,196,39,9,0,0
BIHAR,BEGUSARAI,2001,124,13,53,18,76,265,147,67,21,32,0
BIHAR,BETTIAH,2001,66,20,84,8,93,265,340,32,17,23,8
BIHAR,BHABHUA,2001,41,10,43,34,96,184,186,26,8,7,0
BIHAR,BHAGALPUR,2001,128,35,66,22,127,370,171,55,20,15,0
BIHAR,BHOJPUR,2001,135,22,46,32,114,214,240,49,23,0,0
BIHAR,BUXAR,2001,56,8,34,49,76,179,189,34,15,0,0
BIHAR,DARBHANGA,2001,53,19,39,29,65,103,142,37,37,40,0
BIHAR,GAYA,2001,200,25,66,100,149,416,417,114,26,27,0
BIHAR,GOPALGANJ,2001,107,13,59,32,81,153,227,73,22,0,0
BIHAR,JAMALPUR RLY.,2001,7,1,4,9,1,117,0,13,0,1,0
BIHAR,JAMUI,2001,67,10,14,22,40,81,134,14,16,8,0
BIHAR,JEHANABAD,2001,73,6,35,15,53,121,170,22,25,0,0
BIHAR,KATIHAR,2001,60,51,49,49,49,146,193,30,6,6,0
BIHAR,KATIHAR RLY.,2001,7,0,3,18,12,221,9,19,0,2,0
BIHAR,KHAGARIA,2001,72,5,34,6,17,86,167,29,11,6,0
BIHAR,KISHANGANJ,2001,25,22,23,19,34,57,116,10,4,2,0
BIHAR,LAKHISARAI,2001,61,10,30,9,25,79,93,13,6,12,0
BIHAR,MADHEPURA,2001,56,11,49,17,13,69,157,31,6,3,0
BIHAR,MADHUBANI,2001,35,13,36,24,86,98,195,17,12,41,0
BIHAR,MOTIHARI,2001,114,44,100,30,105,271,365,79,37,3,0
BIHAR,MUNGER,2001,51,11,45,6,57,157,218,29,8,0,0
BIHAR,MUZAFFARPUR,2001,153,73,113,32,118,538,241,135,69,81,6
BIHAR,MUZAFFARPUR RLY.,2001,13,2,5,4,8,313,13,15,0,4,0
BIHAR,NALANDA,2001,208,40,126,51,92,412,318,97,47,14,0
BIHAR,NAUGACHIA,2001,36,7,29,15,7,32,56,18,4,0,0
BIHAR,NAWADAH,2001,77,15,42,16,37,66,183,31,17,7,1
BIHAR,PATNA,2001,434,27,197,91,426,1568,506,414,90,47,39
BIHAR,PATNA RLY.,2001,24,1,3,18,4,811,11,21,0,9,0
BIHAR,PURNEA,2001,104,39,64,75,100,227,269,97,8,5,0
BIHAR,ROHTAS,2001,127,25,72,78,144,317,391,68,36,21,0
BIHAR,SAHARSA,2001,36,12,27,3,24,56,156,15,7,9,0
BIHAR,SAMASTIPUR,2001,107,19,75,33,94,247,312,61,11,17,29
BIHAR,SARAN,2001,137,20,65,69,96,246,309,93,67,22,0
BIHAR,SHEIKHPURA,2001,28,3,16,16,15,89,136,12,9,0,0
BIHAR,SHEOHAR,2001,18,11,13,7,5,16,38,8,3,0,0
BIHAR,SITAMARHI,2001,51,23,34,24,47,132,218,15,13,1,0
BIHAR,SIWAN,2001,116,4,51,45,77,112,239,100,32,6,0
BIHAR,SUPAUL,2001,41,30,26,31,49,129,170,40,7,8,0
BIHAR,VAISHALI,2001,110,20,90,22,226,262,295,43,59,52,0
BIHAR,TOTAL,2001,3643,888,2159,1291,3233,9701,8606,2203,859,562,83
CHHATTISGARH,BALRAMPUR,2001,13,17,1,17,26,21,15,11,1,18,0
CHHATTISGARH,BILASPUR,2001,99,69,20,4,551,690,166,37,7,180,0
CHHATTISGARH,BIZAPUR,2001,9,4,0,2,9,3,1,6,0,1,0
CHHATTISGARH,DANTEWARA,2001,83,19,11,7,59,64,14,5,1,18,0
CHHATTISGARH,DHAMTARI,2001,14,22,4,2,125,110,22,0,1,41,0
CHHATTISGARH,DURG,2001,76,144,57,9,593,893,48,50,12,287,0
CHHATTISGARH,GRP RAIPUR,2001,2,0,0,2,8,197,4,9,0,4,0
CHHATTISGARH,JAGDALPUR,2001,80,59,6,2,146,172,35,23,3,49,0
CHHATTISGARH,JANJGIR,2001,48,29,9,2,193,237,105,25,9,110,0
CHHATTISGARH,JASHPUR,2001,37,36,2,5,88,54,13,17,2,41,0
CHHATTISGARH,KANKER,2001,31,42,4,3,67,53,23,5,1,36,0
CHHATTISGARH,KAWARDHA,2001,19,35,1,1,69,43,10,2,1,45,0
CHHATTISGARH,KORBA,2001,33,46,13,0,221,305,67,8,1,90,0
CHHATTISGARH,KORIYA,2001,35,34,7,3,228,153,21,6,3,102,0
CHHATTISGARH,MAHASAMUND,2001,18,43,7,2,108,146,30,6,6,69,0
CHHATTISGARH,RAIGARH,2001,50,53,6,2,212,173,34,13,2,104,0
CHHATTISGARH,RAIPUR,2001,92,104,38,10,793,953,110,58,16,253,0
CHHATTISGARH,RAJNANDGAON,2001,36,58,4,3,289,231,50,15,3,92,0
CHHATTISGARH,SARGUJA,2001,105,145,17,11,359,314,103,42,1,223,0
CHHATTISGARH,TOTAL,2001,880,959,207,87,4144,4812,871,338,70,1763,0
GOA,NORTH GOA,2001,22,4,4,5,189,291,33,10,2,12,0
GOA,SOUTH GOA,2001,14,8,5,2,170,285,31,15,0,5,0
GOA,TOTAL,2001,36,12,9,7,359,576,64,25,2,17,0
GUJARAT,AHMEDABAD COMMR.,2001,90,39,143,18,695,3588,191,192,7,54,0
GUJARAT,AHMEDABAD RURAL,2001,26,5,27,15,122,225,50,25,0,26,0
GUJARAT,AHWA-DANG,2001,6,1,2,0,6,8,10,1,0,2,0
GUJARAT,AMRELI,2001,41,2,39,4,127,199,52,25,2,21,0
GUJARAT,ANAND,2001,28,3,30,10,195,427,63,14,0,27,0
GUJARAT,BHARUCH,2001,37,4,39,13,150,388,44,17,0,19,0
GUJARAT,BHAVNAGAR,2001,64,9,60,5,203,561,113,48,2,36,0
GUJARAT,DAHOD,2001,36,5,15,22,76,120,49,44,0,17,0
GUJARAT,GANDHINAGAR,2001,25,4,15,14,182,585,64,22,3,37,0
GUJARAT,HIMATNAGAR,2001,55,17,31,23,204,191,65,29,4,51,0
GUJARAT,JAMNAGAR,2001,48,20,27,2,204,530,34,20,2,18,0
GUJARAT,JUNAGADH,2001,56,14,46,4,252,547,88,52,11,44,0
GUJARAT,KHEDA NORTH,2001,42,11,30,9,159,358,63,19,0,43,0
GUJARAT,KUTCH,2001,34,2,24,8,133,307,55,11,2,25,0
GUJARAT,MEHSANA,2001,28,4,58,23,195,557,98,45,5,47,0
GUJARAT,NARMADA,2001,16,8,9,1,14,46,9,0,0,7,0
GUJARAT,NAVSARI,2001,26,2,6,7,98,120,22,13,0,6,0
GUJARAT,PALANPUR,2001,52,18,41,13,212,420,94,47,2,50,0
GUJARAT,PANCHMAHAL,2001,56,5,46,21,147,313,50,19,0,1,0
GUJARAT,PATAN,2001,24,3,21,8,76,220,78,19,0,23,0
GUJARAT,PORBANDAR,2001,15,6,5,0,44,116,8,3,0,10,0
GUJARAT,RAJKOT COMMR.,2001,29,5,46,5,306,1245,110,31,3,19,0
GUJARAT,RAJKOT RURAL,2001,30,20,40,9,198,378,58,23,2,45,0
GUJARAT,SURAT COMMR.,2001,98,11,57,26,353,1422,127,59,20,10,0
GUJARAT,SURAT RURAL,2001,62,26,23,12,100,219,30,28,0,11,0
GUJARAT,SURENDRANAGAR,2001,38,11,29,7,103,204,73,13,2,45,0
GUJARAT,VADODARA COMMR.,2001,34,3,35,4,244,997,151,39,0,11,0
GUJARAT,VADODARA RURAL,2001,71,18,38,15,67,210,34,21,0,34,0
GUJARAT,VALSAD,2001,44,9,16,22,246,432,40,25,0,10,0
GUJARAT,W.RLY,2001,15,1,0,7,31,901,7,87,0,7,0
GUJARAT,TOTAL,2001,1226,286,998,327,5142,15834,1930,991,67,756,0
HARYANA,AMBALA,2001,26,11,38,2,316,365,5,18,11,27,0
HARYANA,BHIWANI,2001,40,10,9,0,132,190,109,19,33,17,0
HARYANA,FARIDABAD,2001,68,37,78,7,236,668,133,44,19,47,0
HARYANA,FATEHABAD,2001,18,17,20,3,96,141,11,11,17,17,0
HARYANA,GRP,2001,24,0,2,0,1,169,9,5,5,1,0
HARYANA,GURGAON,2001,69,32,50,4,294,794,78,51,17,21,0
HARYANA,HISSAR,2001,45,10,26,2,244,438,28,27,24,33,0
HARYANA,JHAJJAR,2001,48,21,14,2,98,183,68,25,20,42,0
HARYANA,JIND,2001,37,21,12,2,151,148,71,28,11,22,0
HARYANA,KAITHAL,2001,33,16,9,3,103,144,0,9,9,19,0
HARYANA,KARNAL,2001,42,44,31,8,208,468,47,16,18,28,0
HARYANA,KURUKSHETRA,2001,20,31,14,5,132,343,0,13,10,28,0
HARYANA,MAHENDRAGARH,2001,26,11,13,1,59,116,47,1,8,19,0
HARYANA,PANCHKULA,2001,12,6,18,1,118,226,1,5,4,23,0
HARYANA,PANIPAT,2001,43,38,19,20,182,415,35,47,11,16,0
HARYANA,REWARI,2001,21,11,13,0,86,155,39,7,12,17,0
HARYANA,ROHTAK,2001,57,28,13,5,229,365,37,29,17,26,0
HARYANA,SIRSA,2001,37,17,18,2,194,240,24,5,12,23,0
HARYANA,SONIPAT,2001,73,15,26,5,130,347,6,28,18,22,0
HARYANA,YAMUNANAGAR,2001,42,22,26,5,100,202,2,9,9,30,0
HARYANA,TOTAL,2001,781,398,449,77,3109,6117,750,397,285,478,0
HIMACHAL PRADESH,BILASPUR,2001,8,5,10,2,50,49,76,3,1,35,0
HIMACHAL PRADESH,CHAMBA,2001,13,12,17,0,92,29,6,1,0,23,0
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,0,1,1,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,3,0,29,17,26,1,1,17,0
HIMACHAL PRADESH,KANGRA,2001,24,18,30,1,146,108,125,4,1,43,0
HIMACHAL PRADESH,KINNAUR,2001,5,6,3,0,24,2,4,0,0,4,0
HIMACHAL PRADESH,KULLU,2001,13,13,7,0,50,17,27,1,0,12,0
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1,0,5,1,2,1,0,0,0
HIMACHAL PRADESH,MANDI,2001,18,16,11,0,107,64,83,3,0,59,0
HIMACHAL PRADESH,SHIMLA,2001,14,18,13,0,170,188,122,7,2,50,0
HIMACHAL PRADESH,SIRMAUR,2001,3,10,13,0,37,27,56,4,3,33,0
HIMACHAL PRADESH,SOLAN,2001,11,12,13,0,77,59,62,1,2,23,0
HIMACHAL PRADESH,UNA,2001,6,9,5,1,57,38,38,2,0,11,0
HIMACHAL PRADESH,TOTAL,2001,119,124,126,4,844,600,628,28,10,310,0
JAMMU & KASHMIR,ANANTNAG,2001,74,6,59,5,126,83,67,16,0,53,0
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,14,0,21,19,10,4,0,8,0
JAMMU & KASHMIR,BARAMULLA,2001,144,28,75,2,114,156,146,16,0,93,0
JAMMU & KASHMIR,BORDER,2001,6,12,10,0,24,19,15,0,0,15,0
JAMMU & KASHMIR,BUDGAM,2001,78,7,40,0,65,94,88,2,0,35,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2001,104,7,15,2,19,18,17,6,0,6,0
JAMMU & KASHMIR,GANDERBAL,2001,24,5,33,1,28,44,50,0,0,30,0
JAMMU & KASHMIR,JAMMU,2001,27,13,43,0,238,479,103,4,5,40,0
JAMMU & KASHMIR,KARGIL,2001,0,0,2,0,2,6,5,0,0,1,0
JAMMU & KASHMIR,KATHUA,2001,16,13,11,1,50,37,43,2,3,14,0
JAMMU & KASHMIR,KULGAM,2001,39,6,35,1,36,43,77,17,0,7,0
JAMMU & KASHMIR,KUPWARA,2001,141,6,47,0,36,39,74,1,0,62,0
JAMMU & KASHMIR,LEH,2001,3,0,1,0,7,6,5,0,0,1,0
JAMMU & KASHMIR,POONCH,2001,100,13,16,1,13,67,30,0,0,4,0
JAMMU & KASHMIR,PULWAMA,2001,46,7,37,1,66,144,127,27,0,19,0
JAMMU & KASHMIR,RAILWAYS,2001,1,0,0,0,1,3,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2001,76,17,20,2,28,21,3,4,3,7,0
JAMMU & KASHMIR,RAMBAN,2001,51,3,7,1,11,12,2,1,0,3,0
JAMMU & KASHMIR,REASI,2001,36,7,11,1,8,22,6,0,0,5,0
JAMMU & KASHMIR,SRINAGAR,2001,63,8,115,6,382,490,158,59,0,207,0
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,15,0,70,117,46,2,2,12,0
JAMMU & KASHMIR,TOTAL,2001,1075,169,606,24,1345,1919,1072,161,13,622,0
JHARKHAND,BOKARO,2001,70,26,38,38,108,435,119,66,25,24,0
JHARKHAND,CHAIBASA,2001,109,32,17,7,38,99,22,9,0,6,0
JHARKHAND,CHATRA,2001,40,6,10,23,30,80,90,15,7,0,0
JHARKHAND,DEOGHAR,2001,47,22,7,13,66,129,118,15,10,13,0
JHARKHAND,DHANBAD,2001,97,32,57,56,203,546,205,48,30,47,0
JHARKHAND,DHANBAD RLY.,2001,11,2,4,12,9,209,4,13,0,0,0
JHARKHAND,DUMKA,2001,63,27,24,11,48,66,75,8,3,20,0
JHARKHAND,GARHWA,2001,32,11,5,19,32,54,113,17,15,0,0
JHARKHAND,GIRIDIH,2001,63,42,15,56,116,111,173,27,30,13,0
JHARKHAND,GODDA,2001,61,37,30,24,66,70,90,18,1,0,0
JHARKHAND,GUMLA,2001,136,29,16,30,31,56,40,44,0,2,1
JHARKHAND,HAZARIBAGH,2001,76,41,42,85,150,348,268,68,31,15,0
JHARKHAND,JAMSHEDPUR,2001,81,50,60,10,134,343,131,27,6,58,0
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,0,6,3,65,2,4,0,1,0
JHARKHAND,JAMTARA,2001,22,18,14,6,21,68,61,9,5,13,0
JHARKHAND,KODERMA,2001,21,2,14,13,27,77,80,15,11,8,0
JHARKHAND,LATEHAR,2001,54,12,4,44,13,48,27,9,6,0,0
JHARKHAND,LOHARDAGGA,2001,33,12,14,8,14,28,29,11,0,4,0
JHARKHAND,PAKUR,2001,31,23,7,11,13,37,39,5,7,0,0
JHARKHAND,PALAMU,2001,73,15,14,43,71,94,160,32,18,8,1
JHARKHAND,RANCHI,2001,243,73,1,81,2,647,66,140,4,24,0
JHARKHAND,SAHEBGANJ,2001,47,20,17,12,25,80,72,8,3,23,0
JHARKHAND,SARAIKELA,2001,44,17,19,15,43,123,29,12,4,18,0
JHARKHAND,SIMDEGA,2001,49,17,12,13,3,14,5,27,1,0,0
JHARKHAND,TOTAL,2001,1507,567,441,636,1266,3827,2018,647,217,297,2
KARNATAKA,BAGALKOT,2001,59,2,17,2,47,105,218,3,1,39,0
KARNATAKA,BANGALORE COMMR.,2001,221,40,152,31,2108,6293,298,284,40,223,0
KARNATAKA,BANGALORE RURAL,2001,137,13,37,23,405,533,358,32,30,90,0
KARNATAKA,BELGAUM,2001,120,8,27,19,212,386,389,47,4,62,0
KARNATAKA,BELLARY,2001,58,16,14,5,179,303,260,20,5,82,0
KARNATAKA,BIDAR,2001,48,7,19,7,154,202,163,36,2,90,0
KARNATAKA,BIJAPUR,2001,51,6,24,5,108,202,396,21,1,65,0
KARNATAKA,CHAMARAJNAGAR,2001,19,4,5,1,72,133,107,9,7,43,0
KARNATAKA,CHICKMAGALUR,2001,41,8,12,4,148,222,187,10,4,57,0
KARNATAKA,CHITRADURGA,2001,31,18,4,8,115,145,269,20,2,48,0
KARNATAKA,DAKSHIN KANNADA,2001,33,3,9,1,214,219,127,8,1,24,0
KARNATAKA,DAVANAGERE,2001,58,22,23,5,246,332,297,26,8,84,0
KARNATAKA,DHARWAD COMMR.,2001,16,4,8,5,159,245,168,34,2,3,0
KARNATAKA,DHARWAD RURAL,2001,25,3,3,3,30,38,110,5,3,8,0
KARNATAKA,GADAG,2001,22,2,4,4,55,55,109,13,3,10,0
KARNATAKA,GULBARGA,2001,95,20,35,10,246,268,423,61,6,143,0
KARNATAKA,HASSAN,2001,64,20,17,5,162,268,210,23,4,75,0
KARNATAKA,HAVERI,2001,24,3,12,7,85,111,260,10,5,42,0
KARNATAKA,K.G.F.,2001,20,1,12,4,94,108,73,6,4,12,0
KARNATAKA,KODAGU,2001,26,4,4,1,105,87,170,3,4,22,0
KARNATAKA,KOLAR,2001,69,17,21,3,156,284,373,25,18,42,0
KARNATAKA,KOPPAL,2001,23,6,12,3,71,120,166,8,5,40,0
KARNATAKA,MANDYA,2001,67,15,9,2,195,328,280,28,7,50,0
KARNATAKA,MYSORE COMMR.,2001,32,2,11,0,109,326,67,32,9,8,0
KARNATAKA,MYSORE RURAL,2001,53,12,14,0,167,200,212,0,6,79,0
KARNATAKA,RAICHUR,2001,33,12,11,4,137,150,261,13,1,63,0
KARNATAKA,RAILWAYS,2001,12,1,1,3,9,331,16,11,1,0,0
KARNATAKA,SHIMOGA,2001,56,12,14,1,206,292,260,15,6,65,0
KARNATAKA,TUMKUR,2001,80,6,21,10,237,389,234,27,28,53,0
KARNATAKA,UDUPI,2001,16,2,2,1,93,112,107,12,0,16,0
KARNATAKA,UTTAR KANNADA,2001,17,4,5,1,70,81,118,5,3,27,0
KARNATAKA,TOTAL,2001,1626,293,559,178,6394,12868,6686,847,220,1665,0
KERALA,ALAPUZHA,2001,22,21,8,2,227,195,419,18,1,162,0
KERALA,CBCID,2001,22,2,2,1,5,5,6,1,0,0,0
KERALA,ERNAKULAM,2001,44,38,20,25,592,1264,626,80,3,162,0
KERALA,IDUKKI,2001,33,34,0,3,240,254,301,16,0,145,0
KERALA,KANNUR,2001,26,42,12,1,277,213,831,18,0,77,0
KERALA,KASARGOD,2001,18,28,4,32,132,145,683,9,0,0,0
KERALA,KOLLAM,2001,41,55,16,13,334,291,575,62,3,235,0
KERALA,KOTTAYAM,2001,34,22,18,2,319,373,347,54,2,125,0
KERALA,KOZHIKODE,2001,34,39,12,28,448,428,1127,15,2,118,0
KERALA,MALAPPURAM,2001,23,71,17,6,288,340,663,11,3,92,0
KERALA,PALAKKAD,2001,45,63,14,11,342,315,608,30,5,112,0
KERALA,PATHANAMTHITTA,2001,20,12,0,1,144,129,224,7,0,90,0
KERALA,RAILWAYS,2001,0,1,0,0,1,197,39,2,0,0,0
KERALA,THRISSUR,2001,42,42,18,14,406,516,577,82,2,223,0
KERALA,TRIVANDRUM,2001,53,57,41,32,597,636,892,104,6,345,0
KERALA,WAYANADU,2001,15,35,1,5,122,140,190,8,0,56,0
KERALA,TOTAL,2001,472,562,183,176,4474,5441,8108,517,27,1942,0
MADHYA PRADESH,BALAGHAT,2001,56,87,11,0,229,226,42,7,3,157,0
MADHYA PRADESH,BARWANI,2001,41,34,2,2,130,237,35,18,5,81,0
MADHYA PRADESH,BETUL,2001,56,95,19,0,199,246,9,18,7,135,0
MADHYA PRADESH,BHIND,2001,63,31,47,3,223,283,99,28,34,80,0
MADHYA PRADESH,BHOPAL,2001,61,106,55,8,852,1351,77,99,15,252,0
MADHYA PRADESH,BHOPAL RLY.,2001,5,1,2,1,10,705,3,25,0,10,0
MADHYA PRADESH,CHHATARPUR,2001,54,65,28,4,240,163,104,42,20,193,0
MADHYA PRADESH,CHHINDWARA,2001,78,93,18,0,165,239,26,18,10,203,0
MADHYA PRADESH,DAMOH,2001,43,66,18,3,114,188,54,24,28,189,0
MADHYA PRADESH,DATIYA,2001,53,12,25,3,87,103,30,26,8,57,0
MADHYA PRADESH,DEWAS,2001,50,78,20,10,367,677,119,67,15,279,0
MADHYA PRADESH,DHAR,2001,89,68,22,6,285,651,48,35,41,168,0
MADHYA PRADESH,DINDORI,2001,13,20,2,0,52,44,6,2,0,53,0
MADHYA PRADESH,GUNA,2001,71,124,17,9,448,350,171,50,7,317,0
MADHYA PRADESH,GWALIOR,2001,84,59,46,4,939,925,170,144,20,139,0
MADHYA PRADESH,HARDA,2001,14,28,2,1,43,74,23,3,9,35,0
MADHYA PRADESH,HOSHANGABAD,2001,53,65,16,0,253,286,33,31,9,109,0
MADHYA PRADESH,INDORE,2001,111,84,50,5,874,2708,129,112,25,215,0
MADHYA PRADESH,INDORE RLY.,2001,6,2,0,0,3,193,2,7,0,5,0
MADHYA PRADESH,JABALPUR,2001,103,108,33,0,596,887,112,126,28,264,0
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,0,0,221,1,15,1,4,0
MADHYA PRADESH,JHABUA,2001,124,44,83,5,163,269,74,20,5,127,0
MADHYA PRADESH,KATNI,2001,51,25,9,0,168,239,33,29,11,106,0
MADHYA PRADESH,KHANDWA,2001,41,63,14,5,311,290,64,11,11,184,0
MADHYA PRADESH,KHARGON,2001,47,47,15,5,171,533,80,21,5,164,0
MADHYA PRADESH,MANDLA,2001,35,64,9,2,190,116,18,11,4,151,0
MADHYA PRADESH,MANDSAUR,2001,28,41,15,3,197,444,56,32,4,102,0
MADHYA PRADESH,MORENA,2001,63,35,35,16,381,564,198,76,29,77,0
